Ac_No,Age,Years of Experience,Number of Vehicles,Gender,Married,Losses in Thousands
150024,24,5,1,M,Married,203.3195946
144880,31,10,1,F,Single,402.1973024
133742,56,37,1,M,Married,553.1320959
151282,52,31,1,F,Married,292.4305792
174407,20,3,1,M,Single,246.5405761
142548,29,8,1,M,Married,384.6763948
183396,36,19,1,F,Single,462.1588562
106838,67,49,1,F,Married,168.9340361
137434,69,48,1,M,Single,69.89304091
192628,16,0,1,F,Single,242.7725761
154894,19,1,1,M,Single,763.7298567
187293,29,8,1,F,Single,407.3893742
173214,20,1,1,F,Married,161.5795211
163905,67,49,1,M,Married,242.8887756
157356,46,27,1,M,Married,358.521705
160387,57,40,1,M,Married,314.6620972
127360,65,48,1,M,Single,306.7395011
108345,20,1,1,M,Single,772.6448203
122164,67,49,1,M,Single,593.4274113
103555,62,45,1,M,Married,275.2144091
165177,44,27,1,F,Single,472.5998112
140896,17,0,1,M,Single,877.0778833
197555,29,10,1,F,Single,825.2772277
198709,66,49,1,F,Single,273.1567349
155134,22,3,1,F,Single,220.6385329
104183,33,16,1,M,Single,169.3764585
131927,69,48,1,F,Married,98.07355841
146242,39,22,1,M,Married,680.1630093
138988,41,22,1,F,Married,210.312302
102189,20,2,1,F,Married,354.1103301
128861,68,49,1,F,Married,155.7208447
101564,31,12,1,M,Married,670.8921754
105052,30,13,1,M,Single,446.7508297
116579,64,47,1,M,Married,109.0263426
171608,68,47,1,F,Married,119.7330443
171105,49,30,1,M,Single,454.8247336
152298,23,4,1,M,Single,845.7592784
196222,50,32,1,M,Single,274.3142835
197889,39,18,1,F,Single,791.135206
109945,35,14,1,F,Single,355.2515755
120208,38,20,1,M,Married,522.8312209
144803,66,47,1,M,Single,347.0821846
167746,58,39,1,F,Single,381.7477309
140463,25,6,1,M,Single,747.5273873
193913,45,26,1,M,Married,391.2383998
193219,48,29,1,M,Married,330.1933096
196673,18,1,1,M,Single,904.8401349
101665,40,19,1,F,Single,387.4851589
152722,17,0,1,M,Married,481.5460256
181720,32,12,1,M,Married,178.4623223
196090,25,6,1,M,Married,597.4422021
137351,56,36,1,M,Single,448.7108596
116625,67,47,1,F,Married,218.5837842
120268,60,41,1,F,Married,227.6644878
181439,60,41,1,F,Single,720.2641611
182975,16,0,1,M,Single,950.9628027
119576,42,21,1,M,Single,368.9411753
101760,20,1,1,F,Married,191.4841522
124401,40,19,1,M,Single,503.3720137
132104,16,0,1,M,Married,264.7891684
185013,70,51,1,M,Single,341.9072784
118353,20,3,1,F,Married,204.9823703
157903,28,9,1,M,Single,707.3793245
114055,28,10,1,F,Single,865.1666105
174077,20,2,1,F,Married,435.088519
155060,22,3,1,M,Single,1095.601585
151384,20,2,1,M,Married,373.3754632
127729,64,47,1,M,Married,48.01445411
198511,44,25,1,F,Single,447.2328034
153908,17,0,1,M,Single,665.4768153
169358,22,4,1,M,Married,316.9985022
108996,61,40,1,M,Single,388.6544422
140129,22,4,1,F,Single,405.6484005
198046,60,42,1,F,Single,46.01271223
149010,17,0,1,M,Married,354.6611912
151476,17,0,1,F,Single,296.8081537
136743,63,43,1,F,Single,217.1205792
171560,41,20,1,M,Married,375.6052838
146306,65,48,1,M,Single,25.88680711
111448,26,7,1,F,Married,606.3573767
149440,59,42,1,M,Single,351.1678295
122855,66,45,1,F,Married,15.5892684
162634,29,8,1,M,Single,738.9508303
187253,21,2,1,F,Married,183.0600479
156505,21,3,1,M,Married,311.353198
115303,64,46,1,F,Married,260.2725911
157222,36,17,1,F,Married,322.0024982
163555,46,27,1,M,Single,596.3227132
138553,60,42,1,M,Married,162.3570971
185458,25,8,1,M,Married,525.0439169
102319,47,30,1,F,Married,329.6301926
140871,24,6,1,M,Single,413.8328632
132547,40,23,1,M,Married,593.2666445
198278,21,2,1,F,Single,411.5067461
110208,35,16,1,F,Single,394.9982853
160827,70,53,1,F,Married,59.00575916
183596,48,27,1,M,Single,574.8216925
130589,62,44,1,F,Single,84.75366158
103014,50,29,1,M,Single,552.2467274
188352,67,50,1,M,Single,78.38607932
161398,54,34,1,M,Married,314.085069
147805,25,8,1,M,Single,3500
190621,16,0,1,M,Single,3250
161675,66,48,1,M,Single,2850
165974,63,43,1,F,Single,2534.63946
152551,52,34,1,M,Married,2852.18873
142085,25,7,1,F,Married,2879.067137
191297,38,20,1,F,Married,2814.312522
164185,25,6,1,F,Single,2879.176458
122992,50,32,1,F,Single,3462.340629
110488,35,15,1,M,Single,3332.771801
111434,64,45,1,F,Single,3226.612176
176699,68,49,1,F,Married,235.1357629
157408,63,45,1,F,Married,60.82862632
104797,24,7,1,M,Single,750.7435809
167022,58,38,1,F,Married,314.6819894
112619,17,0,1,M,Single,1197.444316
178782,16,0,1,F,Single,610.5008673
130506,20,1,1,M,Single,867.5781431
173005,58,38,1,F,Married,284.2330566
196406,50,33,1,M,Married,142.5319857
151636,58,37,1,M,Single,443.1218792
119860,23,5,1,M,Single,1086.924905
100079,20,3,1,M,Married,681.5827516
135252,52,35,1,M,Married,268.5415695
145276,36,16,1,M,Married,429.8250505
157539,37,16,1,F,Single,217.9595747
178158,61,40,1,F,Married,287.7680412
153763,29,11,1,F,Married,387.1689797
184637,21,2,1,F,Single,233.2261935
129471,22,4,1,F,Married,296.220441
172740,31,13,1,F,Single,381.6263384
170777,60,42,1,M,Single,97.82479138
140244,44,25,1,F,Single,427.346936
149411,16,0,1,M,Single,534.6193671
155380,18,1,1,F,Married,322.9551348
128261,66,47,1,M,Married,313.1380724
103771,70,52,1,F,Married,28.52569444
179862,19,0,1,M,Married,413.9661157
156172,49,30,1,M,Single,396.5517713
160283,18,0,1,M,Single,550.0535565
181059,24,5,1,F,Single,768.3369443
125059,66,46,1,F,Single,430.2457695
196280,70,49,1,F,Single,57.96961012
108827,25,7,1,F,Single,422.6834837
111501,26,8,1,M,Single,298.8722661
192032,23,6,1,M,Single,376.1669213
196073,35,18,1,F,Single,428.8765231
172196,25,6,1,M,Single,619.623702
171179,65,46,1,F,Single,357.0767817
108405,70,50,1,F,Single,36.73113056
110555,26,5,1,M,Single,513.9091147
140775,43,22,1,M,Single,383.0935474
184678,18,1,1,M,Married,775.5602497
190636,39,18,1,M,Single,688.1633261
137629,20,2,1,M,Married,250.0483034
141654,34,13,1,F,Married,151.2591629
174549,69,50,1,F,Single,96.57177764
101976,70,53,1,F,Single,156.106545
125588,25,7,1,M,Single,1036.422302
110830,22,5,1,F,Single,465.6053779
