price,bedrooms,bathrooms,sqft_lot,floors,condition,yr_built
221900,3,1,5650,1,Average,1955
538000,3,2.25,7242,2,Average,1951
180000,2,1,10000,1,Average,1933
604000,4,3,5000,1,VeryGood,1965
510000,3,2,8080,1,Average,1987
1.23E+06,4,4.5,101930,1,Average,2001
257500,3,2.25,6819,2,Average,1995
291850,3,1.5,9711,1,Average,1963
229500,3,1,7470,1,Average,1960
323000,3,2.5,6560,2,Average,2003
662500,3,2.5,9796,1,Average,1965
468000,2,1,6000,1,Good,1942
310000,3,1,19901,1.5,Good,1927
400000,3,1.75,9680,1,Good,1977
530000,5,2,4850,1.5,Average,1900
650000,4,3,5000,2,Average,1979
395000,3,2,14040,2,Average,1994
485000,4,1,4300,1.5,Good,1916
189000,2,1,9850,1,Good,1921
230000,3,1,9774,1,Good,1969
385000,4,1.75,4980,1,Good,1947
2.00E+06,3,2.75,44867,1,Average,1968
285000,5,2.5,6300,2,Average,1995
252700,2,1.5,9643,1,Average,1985
329000,3,2.25,6500,2,Good,1985
233000,3,2,4697,1.5,VeryGood,1941
937000,3,1.75,2691,2,Average,1915
667000,3,1,1581,1.5,VeryGood,1909
438000,3,1.75,6380,1,Average,1948
719000,4,2.5,7173,2,Average,2005
580500,3,2.5,3980,2,Average,2003
280000,2,1.5,1265,3,Average,2005
687500,4,1.75,5000,1.5,Good,1929
535000,3,1,3000,1.5,Good,1929
322500,4,2.75,6659,1,Average,1981
696000,3,2.5,3060,1.5,Average,1930
550000,4,1,34848,1,Poor,1933
640000,4,2,6000,2,Good,1904
240000,4,1,8075,1,Fair,1969
605000,4,2.5,7553,2,Average,1996
625000,4,2.5,5520,2,Average,2000
775000,4,2.25,24186,1,Average,1984
861990,5,2.75,5639,2,Average,2014
685000,3,1,2280,2,Average,1922
309000,3,1,9656,1,Good,1959
488000,3,2.5,13603,2,Average,2003
210490,3,1,8528,1,Average,1966
785000,4,2.5,13416,2,Good,1981
450000,3,1.75,5963,1,Good,1953
1.35E+06,3,2.5,65005,1,VeryGood,1953
228000,3,1,9199,1,Average,1955
345000,5,2.5,9134,1,Good,1966
600000,3,1.75,4080,1,Good,1950
585000,2,1.75,8550,1,Average,1981
920000,5,2.25,6000,1.5,Average,1927
885000,4,2.5,5000,2,Average,1995
292500,4,2.5,4495,2,Average,2008
301000,3,2.5,4750,2,Average,2003
951000,5,3.25,14342,2,Good,1968
430000,4,3,9976,2,Average,1991
650000,3,2.25,21235,1,Good,1959
289000,3,1.75,8400,1,Average,1954
505000,3,1.75,8690,2,VeryGood,1973
549000,3,1.75,1044,3,Average,2014
425000,3,2.25,6000,1,Average,1979
317625,3,2.75,3809,1.5,VeryGood,1925
975000,4,2.5,11049,2,Average,1989
287000,4,2.5,4648,2,Average,2005
204000,3,1,12070,1,Good,1968
1.33E+06,5,2.25,20158,1,Average,1965
1.04E+06,5,3.25,50094,1,Good,1973
325000,3,2,5612,1,Good,1972
571000,4,2,7807,1.5,VeryGood,1916
360000,4,2.5,5000,2,Average,2005
349000,3,1.75,50529,1,VeryGood,1965
832500,4,4,35102,2,Good,1986
380000,4,1.75,7300,1,Average,1956
480000,3,1,5060,1,Average,1941
410000,3,1,5060,1,Good,1956
720000,4,2.5,39683,2,Average,2002
390000,3,2.5,5100,2,Average,2003
360000,4,2.5,5889,2,Average,1992
355000,2,1,6720,1,Average,1948
356000,3,1.5,8712,1,Average,1964
315000,3,1,6634,1,Average,1952
940000,3,1.5,3600,2,Average,1925
305000,5,2.25,8400,1.5,VeryGood,1961
461000,3,3.25,6278,2,Average,2006
215000,2,2.25,2040,2,Good,1979
335000,2,1.75,1066,2,Average,2006
243500,4,2.5,7403,2,Average,1988
1.10E+06,5,2.75,6353,2,Good,2001
153000,3,1,10500,1,Average,1962
430000,3,1.5,5000,1,Average,1939
700000,3,1.5,5000,1,Average,1939
905000,4,2.5,10250,1,Average,1946
247500,3,1.75,15681,1,Average,1967
199000,4,1.5,6400,1,Good,1975
314000,3,1.75,41800,1,VeryGood,1980
437500,3,2.5,36847,2,Average,1992
850830,3,2.5,13241,1.5,VeryGood,1910
555000,3,2,3478,1.5,Good,1929
699950,3,2.25,107593,2,Good,1983
1.09E+06,3,2.5,8113,2,Average,1950
290000,3,1,33919,1,Average,1954
375000,3,2.5,10005,1,Good,1978
460000,3,1,4005,1.5,Good,1939
188500,2,1.75,2493,1,Good,1985
680000,4,2.5,28037,2,Good,1991
470000,5,1.75,12342,2,Good,1942
597750,4,2.5,9624,2,Average,1984
570000,3,1.75,3328,1,VeryGood,1905
272500,3,1.75,12600,1,Good,1980
329950,3,1.75,5969,1,Average,1971
480000,4,2.5,16171,2,Average,2001
740500,3,3.5,6350,2,Average,1900
518500,3,3.5,1102,3,Average,2010
205425,2,1,6780,1,Good,1945
171800,4,2,9600,1,Average,1950
535000,4,1,2982,1.5,Good,1925
660000,3,2.5,6474,1,Average,1964
391500,3,2,9132,1,Average,1987
395000,2,1,6000,1,Average,1953
445000,4,1.75,4400,1.5,VeryGood,1924
770000,3,2.25,10204,2,Average,1990
1.45E+06,4,2.75,17789,1.5,Average,1914
445000,3,2.25,8201,1,Average,1967
260000,4,2.25,8811,1,Average,1978
822500,5,3.5,4960,2,VeryGood,1926
430000,4,2.5,4310,2,Average,2004
212000,3,1.75,7875,1,Good,1986
660500,4,2.25,9603,1,Average,1986
784000,3,3.5,111078,1.5,Average,1989
453246,3,2.5,2287,2,Average,2014
675000,4,3.5,2278,3,Average,2005
199000,3,1.75,17390,1,Good,1956
220000,4,1.75,7840,1,Average,1968
452000,4,2.25,10002,1,Good,1968
382500,2,1,4440,1,Average,1981
519950,3,2.25,1249,3,Average,2014
665000,2,1,3200,1,Average,1925
527700,5,2.5,9375,1,Good,1968
205000,3,1,8579,1,Good,1962
420000,3,1,8097,1,Good,1923
500000,4,2.25,8517,1,Good,1961
921500,4,2.5,315374,2,Good,1994
890000,4,1,4000,2,Average,1905
430000,2,2.5,60984,2,Average,2007
258000,5,2,12500,1,Good,1960
511000,3,1,3455,1,Average,1947
532170,3,2,3090,2,Average,1990
560000,3,1,5000,1.5,Average,1947
282950,3,1,8200,1,Good,1954
2.25E+06,4,3.25,19850,2,Average,2006
350000,1,1,5100,1,Average,1942
215000,3,1,7669,1,Good,1967
650000,5,3.5,25245,2,Average,1996
320000,4,2.75,7500,1,Average,1967
247000,3,2,7198,1.5,Average,1916
320000,4,1.75,11180,1,Good,1968
255000,5,2.25,8632,1,Average,1962
438000,3,1.75,9660,1,Average,1962
900000,3,2.5,16603,2,Average,2000
441000,3,2.75,7280,1,Average,1979
420000,3,2,38332,1,Good,1975
370000,3,1.75,7000,1,Average,1976
269950,2,1.75,7250,1,VeryGood,1949
807100,4,2.5,4499,2,Average,1999
653000,3,2.5,9750,1,Good,1979
371500,3,2,8336,1,VeryGood,1964
284000,3,1.75,21000,1,Average,1954
272000,3,1.75,7140,1,Good,1978
313000,3,1.5,7912,1.5,Average,1955
917500,4,2.5,35003,2,Average,1984
673000,4,2.25,8190,2,Good,1980
425000,3,2.5,1100,2,Average,2008
399950,5,2.75,5400,1,Average,1986
385000,3,1,4800,1,Average,1901
269950,3,1.5,7560,1,Good,1975
330000,2,1,8220,1,Average,1949
260000,3,2.5,5797,2,Average,1988
470000,4,3,5125,1.5,Good,1925
589000,4,3,9600,2,VeryGood,1961
163500,2,1.5,3419,2,Average,1996
835000,4,2.75,13412,2,Average,1993
1.10E+06,5,3,12850,1,Good,1986
269000,4,1.75,10000,1,Good,1969
560000,3,2.5,8744,2,Average,1987
615000,4,1,2400,1.5,Good,1901
585188,3,2.25,10026,1,Average,1975
305000,3,1.75,9480,1,Average,1977
166950,3,1,8820,1,Average,1959
799000,3,2.5,9897,1,Good,1959
400000,3,2.5,7508,1,Good,1962
230000,3,1,10228,1,Average,1948
256883,3,2.5,5025,2,Average,2003
423000,4,2,6480,1.5,VeryGood,1920
465000,3,2.5,4084,2,Average,2007
440000,3,2.5,66211,2,Average,1997
385000,3,1.75,155073,1,Good,1969
210000,3,1,11725,1,Good,1943
297000,3,2.5,14952,2,Average,1994
